Timestamp,Wie oft hast du dein Velo vor der Corona Pandemie pro Woche benutzt?,Wie oft in der Woche benutzt du dein Velo jetzt?,Wie viele Minuten brauchst du ein Velo für den Arbeitsweg?,Wieso fährst du Velo?,Wie hat sich die Maskenpflicht im ÖV auf deinen Velogebrauch ausgwirkt?,Wie alt bist du?,In welcher Gemeinde wohnst du?
03/02/2021 15:23:27,weniger,nie,30,weil in der Nacht kein ÖV mehr fährt,keine Auswirkung,unter 18,Bern
03/02/2021 15:24:24,1 - 3 mal,1 - 3 mal,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Ahja gad ufhöre
03/02/2021 15:25:53,1 - 3 mal,nie,10,weil es gesund ist,keine Auswirkung,19 bis 25,Köniz
03/02/2021 15:29:17,4 - 6 mal,4 - 6 mal,7,weil es schnell ist,keine Auswirkung,unter 18,Köniz
03/02/2021 15:29:52,weniger,weniger,25,weil es gesund ist,keine Auswirkung,unter 18,Länggasse
03/02/2021 15:39:25,jeden Tag,nie,20,Einfach so,Ich benutze durch corona mehr ÖV als sonnst,unter 18,Köniz
03/02/2021 15:41:11,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 15:41:11,nie,nie,0,I fahr kein velo,keine Auswirkung,unter 18,Köniz
03/02/2021 15:42:17,4 - 6 mal,1 - 3 mal,15,"weil es mir spass macht, weil es schnell ist, Keine andere Möglichkeit, da es keinen ÖV hat",keine Auswirkung,unter 18,Belpberg/ Belp
03/02/2021 15:43:15,jeden Tag,jeden Tag,30,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz 
03/02/2021 15:44:49,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 15:46:09,1 - 3 mal,1 - 3 mal,30,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,Köniz 
